cod;nome;período;homicidios-mulheres;homicidios-de-jovens-mulheres;homicidios-de-jovens;homicidios-nao-negros;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-de-homens-por-armas-de-fogo;homicidios-de-jovens-homens;homicidios-homens;homicidios-mulheres-negras;homicidios-homens-nao-negros;homicidios-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios;homicidios-mulheres-nao-negras;homicidios-negros
17;TO;1989;14.0;7;22.0;;;6.0;30.0;15;49.0;;;36;13.0;63.0;;
53;DF;1989;23.0;8;185.0;;;5.0;177.0;177;308.0;;;182;116.0;331.0;;
52;GO;1989;91.0;41;344.0;;;44.0;426.0;302;717.0;;;471;223.0;810.0;;
51;MT;1989;31.0;15;180.0;;;8.0;199.0;165;440.0;;;207;82.0;471.0;;
50;MS;1989;39.0;21;168.0;;;20.0;175.0;147;330.0;;;197;95.0;371.0;;
43;RS;1989;142.0;62;806.0;;;41.0;755.0;744;1419.0;;;796;447.0;1561.0;;
42;SC;1989;39.0;15;168.0;;;15.0;142.0;153;315.0;;;157;82.0;354.0;;
41;PR;1989;105.0;45;501.0;;;39.0;457.0;455;1004.0;;;498;255.0;1112.0;;
35;SP;1989;671.0;336;5522.0;;;154.0;2668.0;5186;8508.0;;;2822;1821.0;9179.0;;
33;RJ;1989;304.0;140;2310.0;;;167.0;2772.0;2170;3980.0;;;2942;1722.0;4290.0;;
32;ES;1989;75.0;29;349.0;;;29.0;361.0;320;763.0;;;395;180.0;845.0;;
31;MG;1989;168.0;67;546.0;;;47.0;384.0;479;1047.0;;;432;223.0;1216.0;;
29;BA;1989;80.0;46;574.0;;;23.0;562.0;527;1000.0;;;591;327.0;1086.0;;
28;SE;1989;15.0;5;64.0;;;5.0;66.0;59;124.0;;;71;3946.0;139.0;;
27;AL;1989;66.0;29;339.0;;;21.0;310.0;310;739.0;;;331;143.0;805.0;;
26;PE;1989;173.0;90;1326.0;;;91.0;1607.0;1235;2379.0;;;1698;943.0;2553.0;;
25;PB;1989;52.0;24;193.0;;;21.0;201.0;169;409.0;;;222;102.0;461.0;;
24;RN;1989;14.0;5;113.0;;;3.0;121.0;108;222.0;;;124;69.0;236.0;;
23;CE;1989;47.0;13;299.0;;;13.0;203.0;286;560.0;;;216;121.0;607.0;;
22;PI;1989;17.0;8;68.0;;;7.0;53.0;60;125.0;;;60;30.0;142.0;;
